path	subsystem	kind	lines	bytes	module	import_count	test
src/Editor/EditorImpl/EditorGizmoMathShared.inl	Editor	inl	137	4054		0	0
src/Editor/EditorImpl/EditorGizmoShared.inl	Editor	inl	82	1864		0	0
src/Editor/EditorRotateGizmo.cppm	Editor	cppm	395	11657	core:editor_rotate_gizmo	5	0
src/Editor/EditorScaleGizmo.cppm	Editor	cppm	536	16295	core:editor_scale_gizmo	5	0
src/Editor/EditorSceneState.cppm	Editor	cppm	41	1222	core:editor_scene_state	2	0
src/Editor/EditorSelectionService.cppm	Editor	cppm	187	5807	core:editor_selection_service	1	0
src/Editor/Picking.cppm	Editor	cppm	286	9734	core:picking	5	0
src/Gameplay/AI/Composition/Components/GameplayGOAPMoveToComponent.cppm	AI	cppm	262	11781	core:gameplay_goap_move_to_component	10	0
src/Gameplay/AI/Composition/Components/GameplayGOAPMoveToComponentAssets.cppm	AI	cppm	37	1556	core:gameplay_goap_move_to_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPResourceComponentAssets.cppm	AI	cppm	81	3328	core:gameplay_goap_resource_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPResourceComponents.cppm	AI	cppm	357	15642	core:gameplay_goap_resource_components	4	0
src/Gameplay/AI/Composition/Components/GameplayGOAPSpatialComponentAssets.cppm	AI	cppm	77	3371	core:gameplay_goap_spatial_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPSpatialComponents.cppm	AI	cppm	204	9260	core:gameplay_goap_spatial_components	4	0
src/Gameplay/AI/Composition/GameplayAIBuiltinDecisions.cppm	AI	cppm	17	554	core:gameplay_ai_builtin_decisions	3	0
src/Gameplay/AI/Composition/GameplayGOAPAssetComposition.cppm	AI	cppm	311	13583	core:gameplay_goap_asset_composition	8	0
src/Gameplay/AI/Composition/GameplayGOAPBuiltinComponents.cppm	AI	cppm	21	770	core:gameplay_goap_builtin_components	7	0
src/Gameplay/AI/Composition/GameplayGOAPCompositionRegistry.cppm	AI	cppm	243	9114	core:gameplay_goap_composition_registry	6	0
src/Gameplay/AI/Composition/GameplayGOAPDecisionTemplate.cppm	AI	cppm	155	6852	core:gameplay_goap_decision_template	2	0
src/Gameplay/AI/Composition/GameplayGOAPObservationOrder.cppm	AI	cppm	90	3556	core:gameplay_goap_observation_order	1	0
src/Gameplay/AI/GOAP/AIAgentWorldState.cppm	AI	cppm	182	5230	core:ai_agent_world_state	0	0
src/Gameplay/AI/GOAP/AIDecisionContracts.cppm	AI	cppm	105	2179	core:ai_decision_contracts	2	0
src/Gameplay/AI/GOAP/AIDecisionRuntime.cppm	AI	cppm	312	11285	core:ai_decision_runtime	6	0
src/Gameplay/AI/GOAP/AIGoalSelection.cppm	AI	cppm	83	2624	core:ai_goal_selection	2	0
src/Gameplay/AI/GOAP/AIGoalSelectionContracts.cppm	AI	cppm	24	412	core:ai_goal_selection_contracts	1	0
src/Gameplay/AI/GOAP/AIPlanExecution.cppm	AI	cppm	139	4405	core:ai_plan_execution	2	0
src/Gameplay/AI/GOAP/AIPlanExecutionBridge.cppm	AI	cppm	118	3961	core:ai_plan_execution_bridge	5	0
src/Gameplay/AI/GOAP/AIPlanner.cppm	AI	cppm	225	8513	core:ai_planner	3	0
src/Gameplay/AI/GOAP/AIStateOperations.cppm	AI	cppm	130	2921	core:ai_state_operations	1	0
src/Gameplay/AI/GOAP/Authoring/GameplayAIAssetParsing.cppm	AI	cppm	223	7911	core:gameplay_ai_asset_parsing	1	0
src/Gameplay/AI/GOAP/Authoring/GameplayAIDecisionAsset.cppm	AI	cppm	263	11548	core:gameplay_ai_decision_asset	2	0
src/Gameplay/AI/GOAP/Authoring/GameplayGOAPDefinitionAsset.cppm	AI	cppm	253	10617	core:gameplay_goap_definition_asset	2	0
src/Gameplay/AI/GOAP/Authoring/GameplayGOAPDefinitionCompiler.cppm	AI	cppm	368	15487	core:gameplay_goap_definition_compiler	3	0
src/Gameplay/AI/GOAP/Debug/AIDebugViewModel.cppm	AI	cppm	182	6471	core:ai_debug_view_model	3	0
src/Gameplay/AI/GOAP/Debug/GameplayGOAPInspection.cppm	AI	cppm	20	570	core:gameplay_goap_inspection	3	0
src/Gameplay/AI/GOAP/Debug/GameplayGOAPPathInspection.cppm	AI	cppm	55	1518	core:gameplay_goap_path_inspection	3	0
src/Gameplay/AI/GOAP/GameplayGOAPDecision.cppm	AI	cppm	167	5774	core:gameplay_goap_decision	6	0
